10
1	 92	 169	 277	 16	 27
2	 9	 302	 440	 77	 96
3	 44	 492	 530	 26	 44
4	 100	 587	 591	 18	 80
5	 99	 215	 251	 2	 45
6	 80	 798	 906	 15	 25
7	 96	 613	 695	 16	 35
8	 9	 282	 326	 49	 52
9	 73	 784	 892	 1	 75
10	 97	 637	 775	 27	 36
0	11	24	35	4	0	6	1	40	9
11	0	23	8	23	44	35	17	0	23
24	23	0	25	12	5	25	29	32	14
35	8	25	0	2	6	6	24	40	36
4	23	12	2	0	44	12	7	25	28
0	44	5	6	44	0	9	7	19	32
6	35	25	6	12	9	0	41	1	25
1	17	29	24	7	7	41	0	44	17
40	0	32	40	25	19	1	44	0	15
9	23	14	36	28	32	25	17	15	0
