10
1	 92	 177	 203	 0	 25
2	 56	 320	 328	 22	 27
3	 35	 400	 404	 0	 29
4	 16	 353	 397	 9	 60
5	 5	 450	 454	 6	 45
6	 65	 301	 369	 37	 86
7	 20	 240	 294	 18	 70
8	 61	 364	 442	 38	 40
9	 76	 417	 489	 3	 21
10	 4	 323	 357	 10	 38
0	44	11	30	16	37	5	45	42	14
44	0	13	22	27	2	35	1	18	43
11	13	0	33	3	26	22	10	47	18
30	22	33	0	23	44	0	32	44	20
16	27	3	23	0	16	1	2	44	39
37	2	26	44	16	0	18	42	8	30
5	35	22	0	1	18	0	34	38	0
45	1	10	32	2	42	34	0	35	46
42	18	47	44	44	8	38	35	0	4
14	43	18	20	39	30	0	46	4	0
