10
1	 94	 381	 481	 21	 38
2	 34	 472	 474	 8	 59
3	 100	 57	 81	 29	 63
4	 20	 8	 34	 14	 71
5	 72	 0	 18	 3	 52
6	 90	 615	 709	 21	 34
7	 48	 500	 502	 42	 73
8	 14	 671	 685	 24	 74
9	 62	 9	 113	 37	 62
10	 63	 0	 59	 26	 29
0	12	20	21	19	3	4	10	2	35
12	0	11	19	2	20	32	0	13	43
20	11	0	10	18	20	24	6	42	28
21	19	10	0	38	12	39	6	30	31
19	2	18	38	0	6	20	28	26	28
3	20	20	12	6	0	5	34	29	40
4	32	24	39	20	5	0	33	41	32
10	0	6	6	28	34	33	0	41	18
2	13	42	30	26	29	41	41	0	8
35	43	28	31	28	40	32	18	8	0
