30
1	 22	 683	 761	 0	 57
2	 7	 929	 955	 10	 44
3	 57	 931	 951	 5	 25
4	 99	 794	 862	 0	 27
5	 76	 1314	 1378	 19	 67
6	 60	 799	 805	 33	 91
7	 12	 1233	 1301	 14	 70
8	 89	 1217	 1245	 65	 78
9	 27	 1492	 1504	 14	 31
10	 97	 859	 935	 7	 21
11	 64	 996	 1018	 35	 36
12	 5	 747	 813	 3	 31
13	 5	 1376	 1436	 17	 82
14	 41	 1139	 1151	 2	 35
15	 24	 1062	 1134	 39	 49
16	 19	 773	 821	 77	 85
17	 54	 689	 721	 10	 66
18	 52	 1000	 1064	 29	 45
19	 32	 632	 674	 25	 64
20	 64	 813	 831	 24	 55
21	 46	 1063	 1143	 30	 96
22	 35	 661	 691	 69	 87
23	 4	 697	 729	 38	 62
24	 43	 1449	 1453	 13	 68
25	 8	 844	 916	 86	 89
26	 2	 821	 885	 0	 48
27	 14	 1235	 1243	 58	 87
28	 26	 1278	 1280	 27	 90
29	 84	 979	 1043	 18	 32
30	 54	 1184	 1242	 21	 97
0	37	10	11	23	3	48	22	32	47	13	27	28	39	24	46	11	8	6	48	45	27	18	42	25	13	0	0	13	48
37	0	32	24	6	7	38	34	8	23	27	13	6	1	21	7	27	45	47	11	8	1	24	8	39	45	21	14	8	30
10	32	0	32	2	4	0	38	23	22	5	30	6	17	29	31	43	24	18	42	9	28	3	1	38	45	35	15	27	47
11	24	32	0	47	11	34	29	0	18	7	45	27	23	14	4	34	27	33	30	9	0	15	13	4	9	12	45	23	13
23	6	2	47	0	40	42	0	27	19	7	23	1	29	18	39	46	11	3	41	38	6	2	40	15	15	13	13	30	20
3	7	4	11	40	0	10	11	4	20	12	0	20	20	4	30	30	43	46	43	13	4	31	15	36	1	23	5	48	27
48	38	0	34	42	10	0	28	2	13	41	21	28	6	36	7	40	12	13	43	1	2	24	22	41	4	2	46	46	24
22	34	38	29	0	11	28	0	47	36	6	44	15	27	24	2	42	48	27	22	42	2	22	44	14	20	40	2	3	9
32	8	23	0	27	4	2	47	0	41	26	34	5	26	37	17	39	7	19	31	4	8	18	7	18	39	10	32	19	37
47	23	22	18	19	20	13	36	41	0	0	13	12	31	14	22	16	32	45	6	1	11	37	45	16	37	30	48	10	31
13	27	5	7	7	12	41	6	26	0	0	16	35	38	37	30	12	11	45	6	17	11	25	29	28	2	6	8	8	14
27	13	30	45	23	0	21	44	34	13	16	0	5	49	41	32	10	20	15	11	34	11	40	6	29	1	10	1	43	19
28	6	6	27	1	20	28	15	5	12	35	5	0	7	22	8	17	11	19	43	3	42	16	16	25	9	5	0	34	7
39	1	17	23	29	20	6	27	26	31	38	49	7	0	43	19	26	31	38	0	35	12	22	22	1	32	7	30	38	8
24	21	29	14	18	4	36	24	37	14	37	41	22	43	0	10	0	44	7	42	33	16	24	12	45	27	3	3	7	4
46	7	31	4	39	30	7	2	17	22	30	32	8	19	10	0	43	43	27	32	9	37	11	23	20	49	49	1	15	5
11	27	43	34	46	30	40	42	39	16	12	10	17	26	0	43	0	21	25	34	11	26	5	9	16	41	43	18	0	44
8	45	24	27	11	43	12	48	7	32	11	20	11	31	44	43	21	0	1	7	2	21	40	12	48	13	40	1	47	1
6	47	18	33	3	46	13	27	19	45	45	15	19	38	7	27	25	1	0	20	35	49	9	48	16	42	22	2	11	19
48	11	42	30	41	43	43	22	31	6	6	11	43	0	42	32	34	7	20	0	46	43	28	17	26	16	15	49	23	28
45	8	9	9	38	13	1	42	4	1	17	34	3	35	33	9	11	2	35	46	0	35	7	45	11	19	20	20	14	12
27	1	28	0	6	4	2	2	8	11	11	11	42	12	16	37	26	21	49	43	35	0	23	9	5	41	28	25	21	16
18	24	3	15	2	31	24	22	18	37	25	40	16	22	24	11	5	40	9	28	7	23	0	9	36	4	13	14	12	7
42	8	1	13	40	15	22	44	7	45	29	6	16	22	12	23	9	12	48	17	45	9	9	0	46	47	43	28	1	32
25	39	38	4	15	36	41	14	18	16	28	29	25	1	45	20	16	48	16	26	11	5	36	46	0	33	1	26	5	38
13	45	45	9	15	1	4	20	39	37	2	1	9	32	27	49	41	13	42	16	19	41	4	47	33	0	27	23	30	42
0	21	35	12	13	23	2	40	10	30	6	10	5	7	3	49	43	40	22	15	20	28	13	43	1	27	0	25	14	35
0	14	15	45	13	5	46	2	32	48	8	1	0	30	3	1	18	1	2	49	20	25	14	28	26	23	25	0	48	1
13	8	27	23	30	48	46	3	19	10	8	43	34	38	7	15	0	47	11	23	14	21	12	1	5	30	14	48	0	13
48	30	47	13	20	27	24	9	37	31	14	19	7	8	4	5	44	1	19	28	12	16	7	32	38	42	35	1	13	0
