10
1	 91	 457	 541	 4	 72
2	 85	 558	 592	 15	 81
3	 84	 500	 562	 17	 28
4	 95	 449	 543	 28	 42
5	 26	 334	 408	 49	 53
6	 88	 353	 375	 42	 44
7	 22	 713	 727	 54	 68
8	 85	 771	 877	 50	 62
9	 25	 322	 452	 3	 20
10	 97	 463	 601	 60	 76
0	19	16	0	4	8	46	28	32	9
19	0	5	10	44	12	20	25	13	43
16	5	0	22	12	27	6	22	29	32
0	10	22	0	42	37	24	15	45	32
4	44	12	42	0	6	10	5	18	13
8	12	27	37	6	0	2	17	6	40
46	20	6	24	10	2	0	49	30	26
28	25	22	15	5	17	49	0	46	12
32	13	29	45	18	6	30	46	0	9
9	43	32	32	13	40	26	12	9	0
