10
1	 93	 362	 388	 51	 85
2	 17	 630	 636	 43	 69
3	 55	 517	 537	 36	 45
4	 25	 562	 592	 12	 26
5	 89	 370	 384	 26	 40
6	 19	 122	 132	 0	 98
7	 31	 483	 503	 1	 25
8	 97	 504	 542	 32	 81
9	 49	 63	 85	 45	 46
10	 14	 518	 538	 50	 98
0	12	28	49	10	14	35	34	45	36
12	0	20	45	39	39	49	31	3	41
28	20	0	24	14	37	19	23	16	32
49	45	24	0	11	3	19	33	33	37
10	39	14	11	0	49	33	6	13	40
14	39	37	3	49	0	6	12	8	3
35	49	19	19	33	6	0	40	30	5
34	31	23	33	6	12	40	0	13	2
45	3	16	33	13	8	30	13	0	12
36	41	32	37	40	3	5	2	12	0
