20
1	 4	 343	 375	 22	 25
2	 59	 535	 595	 19	 20
3	 73	 231	 253	 2	 49
4	 9	 483	 525	 11	 50
5	 50	 704	 728	 53	 100
6	 42	 546	 594	 0	 70
7	 57	 233	 239	 9	 43
8	 18	 332	 348	 30	 88
9	 86	 678	 692	 42	 98
10	 7	 537	 553	 85	 94
11	 23	 744	 814	 59	 81
12	 61	 830	 850	 47	 55
13	 44	 715	 755	 24	 57
14	 40	 659	 713	 10	 97
15	 1	 604	 616	 4	 94
16	 36	 326	 402	 3	 22
17	 54	 301	 339	 31	 63
18	 63	 532	 588	 48	 75
19	 26	 264	 274	 27	 29
20	 26	 218	 254	 26	 95
0	46	20	12	40	39	15	7	7	1	42	23	20	1	19	40	1	20	48	44
46	0	2	43	26	12	11	30	37	12	42	3	11	8	12	5	48	9	40	49
20	2	0	24	42	10	41	26	22	30	4	2	7	2	48	14	22	30	14	33
12	43	24	0	23	8	18	4	0	27	35	3	25	17	32	10	20	13	39	10
40	26	42	23	0	30	29	1	35	13	19	12	12	33	1	40	14	33	7	42
39	12	10	8	30	0	2	46	42	23	47	14	23	7	48	9	37	43	44	5
15	11	41	18	29	2	0	6	17	33	45	33	46	40	11	42	5	4	49	24
7	30	26	4	1	46	6	0	28	4	12	23	9	46	28	37	21	21	45	38
7	37	22	0	35	42	17	28	0	39	36	16	38	41	29	2	13	36	31	2
1	12	30	27	13	23	33	4	39	0	31	1	24	15	18	45	24	47	3	15
42	42	4	35	19	47	45	12	36	31	0	48	22	12	13	0	27	40	22	6
23	3	2	3	12	14	33	23	16	1	48	0	35	49	33	10	11	39	25	42
20	11	7	25	12	23	46	9	38	24	22	35	0	43	49	34	5	19	18	23
1	8	2	17	33	7	40	46	41	15	12	49	43	0	30	0	22	17	49	36
19	12	48	32	1	48	11	28	29	18	13	33	49	30	0	19	24	24	17	8
40	5	14	10	40	9	42	37	2	45	0	10	34	0	19	0	2	49	28	13
1	48	22	20	14	37	5	21	13	24	27	11	5	22	24	2	0	42	36	29
20	9	30	13	33	43	4	21	36	47	40	39	19	17	24	49	42	0	40	14
48	40	14	39	7	44	49	45	31	3	22	25	18	49	17	28	36	40	0	4
44	49	33	10	42	5	24	38	2	15	6	42	23	36	8	13	29	14	4	0
