11
1	 93	 373	 403	 71	 73
2	 14	 449	 551	 18	 61
3	 12	 573	 581	 7	 49
4	 58	 350	 366	 27	 72
5	 15	 624	 714	 10	 21
6	 88	 544	 638	 14	 32
7	 87	 306	 314	 55	 74
8	 52	 558	 574	 18	 34
9	 47	 588	 628	 9	 78
10	 90	 620	 660	 30	 73
11	 5	 510	 514	 67	 83
0	1	3	11	17	24	12	39	28	44	30
1	0	8	10	1	1	2	42	9	8	20
3	8	0	16	24	26	40	18	38	41	8
11	10	16	0	39	35	24	26	4	12	44
17	1	24	39	0	15	38	13	19	22	10
24	1	26	35	15	0	2	28	32	2	45
12	2	40	24	38	2	0	23	4	46	13
39	42	18	26	13	28	23	0	36	3	34
28	9	38	4	19	32	4	36	0	0	37
44	8	41	12	22	2	46	3	0	0	22
30	20	8	44	10	45	13	34	37	22	0
