20
1	 4	 533	 619	 1	 29
2	 65	 236	 246	 87	 89
3	 10	 683	 751	 76	 77
4	 96	 455	 525	 2	 48
5	 23	 157	 239	 12	 30
6	 89	 981	 983	 55	 72
7	 61	 314	 352	 21	 24
8	 49	 372	 442	 10	 56
9	 18	 1026	 1038	 41	 57
10	 29	 967	 1031	 5	 23
11	 26	 883	 907	 11	 63
12	 81	 893	 939	 14	 33
13	 43	 183	 263	 48	 64
14	 52	 739	 741	 72	 100
15	 68	 962	 988	 65	 70
16	 24	 930	 946	 13	 83
17	 25	 834	 866	 9	 54
18	 15	 223	 253	 30	 36
19	 18	 552	 582	 16	 55
20	 70	 795	 843	 43	 44
0	17	13	22	36	44	47	1	9	18	48	42	9	41	0	0	9	35	12	40
17	0	6	15	22	18	37	32	33	16	39	22	16	27	46	22	20	19	47	34
13	6	0	43	4	39	38	27	11	14	24	41	32	31	34	11	10	10	43	18
22	15	43	0	15	4	25	46	37	4	34	38	10	44	37	11	19	35	24	2
36	22	4	15	0	0	43	17	25	15	45	40	26	12	36	22	0	2	20	11
44	18	39	4	0	0	36	38	4	24	16	46	12	36	0	37	31	24	41	34
47	37	38	25	43	36	0	49	22	7	17	9	29	32	25	25	49	40	43	44
1	32	27	46	17	38	49	0	48	4	27	43	25	22	19	44	11	4	31	40
9	33	11	37	25	4	22	48	0	15	27	41	48	13	35	48	47	40	5	23
18	16	14	4	15	24	7	4	15	0	30	20	38	8	16	23	46	0	1	24
48	39	24	34	45	16	17	27	27	30	0	7	10	4	30	8	13	13	14	35
42	22	41	38	40	46	9	43	41	20	7	0	7	46	32	0	15	21	44	16
9	16	32	10	26	12	29	25	48	38	10	7	0	7	26	46	22	42	13	3
41	27	31	44	12	36	32	22	13	8	4	46	7	0	34	22	48	16	33	23
0	46	34	37	36	0	25	19	35	16	30	32	26	34	0	2	21	41	6	18
0	22	11	11	22	37	25	44	48	23	8	0	46	22	2	0	3	27	21	10
9	20	10	19	0	31	49	11	47	46	13	15	22	48	21	3	0	11	38	47
35	19	10	35	2	24	40	4	40	0	13	21	42	16	41	27	11	0	5	21
12	47	43	24	20	41	43	31	5	1	14	44	13	33	6	21	38	5	0	45
40	34	18	2	11	34	44	40	23	24	35	16	3	23	18	10	47	21	45	0
