12
1	 12	 232	 250	 57	 88
2	 22	 307	 325	 64	 76
3	 15	 421	 451	 40	 66
4	 24	 195	 205	 11	 72
5	 22	 443	 481	 18	 29
6	 35	 387	 421	 31	 60
7	 74	 214	 220	 5	 29
8	 56	 222	 262	 15	 27
9	 26	 289	 293	 1	 57
10	 7	 408	 460	 37	 43
11	 29	 445	 471	 10	 90
12	 35	 242	 252	 37	 68
0	41	15	30	33	24	44	30	10	33	12	8
41	0	4	43	1	7	8	48	44	28	1	46
15	4	0	5	0	46	22	10	26	12	28	7
30	43	5	0	41	34	42	12	49	37	16	4
33	1	0	41	0	12	7	16	2	45	22	21
24	7	46	34	12	0	32	25	11	17	28	8
44	8	22	42	7	32	0	37	21	41	0	21
30	48	10	12	16	25	37	0	30	18	3	11
10	44	26	49	2	11	21	30	0	12	22	40
33	28	12	37	45	17	41	18	12	0	1	10
12	1	28	16	22	28	0	3	22	1	0	40
8	46	7	4	21	8	21	11	40	10	40	0
