25
1	 10	 291	 383	 1	 70
2	 64	 564	 642	 31	 34
3	 16	 489	 505	 1	 90
4	 10	 1154	 1186	 20	 84
5	 30	 988	 1000	 13	 46
6	 69	 598	 612	 51	 58
7	 69	 575	 615	 7	 74
8	 83	 1179	 1239	 14	 79
9	 18	 1248	 1338	 39	 73
10	 74	 831	 847	 15	 29
11	 95	 481	 523	 56	 92
12	 80	 1059	 1117	 18	 92
13	 33	 1262	 1350	 16	 36
14	 95	 775	 841	 21	 60
15	 24	 535	 553	 23	 50
16	 36	 432	 494	 3	 56
17	 12	 118	 132	 24	 31
18	 21	 1230	 1270	 46	 68
19	 51	 1040	 1134	 43	 82
20	 58	 1218	 1278	 17	 20
21	 52	 296	 332	 21	 50
22	 26	 145	 167	 24	 80
23	 90	 554	 582	 41	 73
24	 83	 758	 798	 10	 61
25	 23	 1193	 1215	 0	 36
0	25	22	39	3	13	25	47	44	23	46	40	16	12	3	44	33	49	31	16	38	19	7	6	47
25	0	30	0	21	19	18	30	13	13	18	47	26	12	6	13	7	10	39	28	45	15	22	45	43
22	30	0	30	8	33	11	6	34	18	10	4	3	24	28	5	37	31	7	24	0	1	5	20	43
39	0	30	0	12	28	5	9	21	46	28	28	39	30	6	6	11	27	37	3	49	46	7	9	1
3	21	8	12	0	26	45	31	16	21	0	9	46	15	8	32	12	6	4	5	17	28	42	49	17
13	19	33	28	26	0	31	45	13	13	9	20	11	4	24	5	21	7	7	11	14	27	21	39	12
25	18	11	5	45	31	0	33	38	2	46	0	32	31	12	6	13	27	24	1	0	48	44	11	36
47	30	6	9	31	45	33	0	29	9	36	9	41	30	4	37	30	11	26	25	26	2	7	16	43
44	13	34	21	16	13	38	29	0	22	45	31	27	27	0	10	37	31	24	10	36	43	25	14	43
23	13	18	46	21	13	2	9	22	0	30	0	20	10	44	13	49	33	6	49	22	12	36	27	16
46	18	10	28	0	9	46	36	45	30	0	13	15	46	21	6	13	3	20	15	13	4	31	26	42
40	47	4	28	9	20	0	9	31	0	13	0	13	2	14	49	34	28	10	17	14	11	48	31	23
16	26	3	39	46	11	32	41	27	20	15	13	0	16	1	42	17	8	30	48	28	2	4	28	9
12	12	24	30	15	4	31	30	27	10	46	2	16	0	9	22	20	7	38	30	22	19	5	28	22
3	6	28	6	8	24	12	4	0	44	21	14	1	9	0	14	45	1	3	35	16	35	11	16	14
44	13	5	6	32	5	6	37	10	13	6	49	42	22	14	0	10	42	26	2	13	14	19	0	24
33	7	37	11	12	21	13	30	37	49	13	34	17	20	45	10	0	19	27	19	25	32	22	25	47
49	10	31	27	6	7	27	11	31	33	3	28	8	7	1	42	19	0	4	9	17	31	6	47	6
31	39	7	37	4	7	24	26	24	6	20	10	30	38	3	26	27	4	0	16	42	0	5	34	33
16	28	24	3	5	11	1	25	10	49	15	17	48	30	35	2	19	9	16	0	12	15	2	2	38
38	45	0	49	17	14	0	26	36	22	13	14	28	22	16	13	25	17	42	12	0	45	43	49	5
19	15	1	46	28	27	48	2	43	12	4	11	2	19	35	14	32	31	0	15	45	0	18	29	8
7	22	5	7	42	21	44	7	25	36	31	48	4	5	11	19	22	6	5	2	43	18	0	25	19
6	45	20	9	49	39	11	16	14	27	26	31	28	28	16	0	25	47	34	2	49	29	25	0	13
47	43	43	1	17	12	36	43	43	16	42	23	9	22	14	24	47	6	33	38	5	8	19	13	0
