10
1	 92	 333	 395	 2	 48
2	 21	 399	 401	 0	 54
3	 23	 352	 360	 23	 28
4	 20	 243	 261	 84	 92
5	 15	 287	 299	 26	 49
6	 26	 223	 259	 2	 35
7	 85	 270	 344	 39	 58
8	 73	 172	 234	 48	 92
9	 1	 135	 163	 13	 73
10	 15	 280	 296	 30	 57
0	6	7	15	10	23	26	12	37	37
6	0	2	34	11	7	21	38	16	11
7	2	0	21	1	8	14	16	13	0
15	34	21	0	1	47	37	24	38	33
10	11	1	1	0	11	31	3	6	26
23	7	8	47	11	0	35	23	32	10
26	21	14	37	31	35	0	35	9	20
12	38	16	24	3	23	35	0	16	11
37	16	13	38	6	32	9	16	0	7
37	11	0	33	26	10	20	11	7	0
