25
1	 8	 884	 910	 9	 26
2	 27	 728	 780	 35	 81
3	 35	 446	 448	 32	 93
4	 64	 591	 651	 59	 77
5	 21	 181	 241	 0	 23
6	 36	 866	 880	 0	 32
7	 8	 1206	 1252	 27	 30
8	 27	 1002	 1036	 18	 33
9	 43	 847	 851	 8	 26
10	 61	 1015	 1063	 21	 90
11	 54	 889	 935	 11	 26
12	 42	 1187	 1251	 28	 68
13	 74	 493	 495	 1	 33
14	 74	 330	 394	 10	 24
15	 14	 1225	 1241	 29	 79
16	 6	 547	 593	 28	 66
17	 13	 249	 281	 4	 20
18	 62	 955	 1021	 44	 63
19	 22	 508	 566	 65	 81
20	 87	 1248	 1258	 52	 65
21	 23	 380	 404	 9	 28
22	 17	 1284	 1316	 13	 31
23	 18	 630	 646	 2	 41
24	 62	 232	 260	 26	 60
25	 55	 333	 337	 24	 79
0	3	17	41	12	36	5	14	35	25	11	17	43	1	16	37	8	9	7	26	39	2	28	5	28
3	0	3	6	16	33	27	42	21	34	28	45	31	5	31	30	47	9	7	40	0	7	2	34	24
17	3	0	30	36	21	9	1	47	48	10	43	33	42	10	24	27	9	10	35	47	24	12	43	27
41	6	30	0	43	15	9	12	7	30	2	23	42	14	4	29	11	18	27	17	17	0	3	46	28
12	16	36	43	0	24	46	41	40	40	41	20	27	17	23	36	3	31	42	35	30	27	29	32	35
36	33	21	15	24	0	38	43	18	5	40	22	46	41	10	45	38	35	10	1	4	45	46	36	14
5	27	9	9	46	38	0	27	1	38	42	30	0	9	39	11	3	10	46	14	31	11	13	35	31
14	42	1	12	41	43	27	0	41	15	48	33	28	35	19	31	10	26	26	17	38	10	28	43	1
35	21	47	7	40	18	1	41	0	13	10	44	33	3	26	31	1	34	45	19	46	7	7	5	22
25	34	48	30	40	5	38	15	13	0	40	12	28	2	20	3	41	46	47	16	49	39	40	9	12
11	28	10	2	41	40	42	48	10	40	0	28	39	13	39	22	6	16	43	47	42	34	10	49	33
17	45	43	23	20	22	30	33	44	12	28	0	44	8	12	13	7	10	21	14	7	46	15	47	49
43	31	33	42	27	46	0	28	33	28	39	44	0	19	2	35	3	39	49	36	41	20	9	45	14
1	5	42	14	17	41	9	35	3	2	13	8	19	0	4	5	26	12	30	18	6	12	43	22	26
16	31	10	4	23	10	39	19	26	20	39	12	2	4	0	24	46	42	31	12	27	17	37	3	33
37	30	24	29	36	45	11	31	31	3	22	13	35	5	24	0	21	5	32	15	30	27	10	11	22
8	47	27	11	3	38	3	10	1	41	6	7	3	26	46	21	0	8	0	11	32	1	32	4	9
9	9	9	18	31	35	10	26	34	46	16	10	39	12	42	5	8	0	17	46	39	5	41	19	34
7	7	10	27	42	10	46	26	45	47	43	21	49	30	31	32	0	17	0	16	42	27	7	42	4
26	40	35	17	35	1	14	17	19	16	47	14	36	18	12	15	11	46	16	0	45	34	39	47	21
39	0	47	17	30	4	31	38	46	49	42	7	41	6	27	30	32	39	42	45	0	48	3	7	2
2	7	24	0	27	45	11	10	7	39	34	46	20	12	17	27	1	5	27	34	48	0	38	31	27
28	2	12	3	29	46	13	28	7	40	10	15	9	43	37	10	32	41	7	39	3	38	0	30	7
5	34	43	46	32	36	35	43	5	9	49	47	45	22	3	11	4	19	42	47	7	31	30	0	42
28	24	27	28	35	14	31	1	22	12	33	49	14	26	33	22	9	34	4	21	2	27	7	42	0
