10
1	 92	 292	 352	 6	 30
2	 34	 292	 314	 48	 62
3	 25	 334	 390	 74	 82
4	 56	 341	 371	 6	 20
5	 22	 308	 328	 30	 44
6	 23	 174	 256	 7	 67
7	 44	 577	 639	 8	 23
8	 58	 596	 678	 41	 63
9	 98	 513	 595	 42	 49
10	 89	 152	 186	 54	 56
0	41	0	39	7	28	43	6	39	3
41	0	34	7	19	22	48	33	19	4
0	34	0	17	21	21	29	12	17	11
39	7	17	0	18	5	11	30	36	1
7	19	21	18	0	22	24	49	7	16
28	22	21	5	22	0	1	22	30	34
43	48	29	11	24	1	0	48	14	35
6	33	12	30	49	22	48	0	2	37
39	19	17	36	7	30	14	2	0	25
3	4	11	1	16	34	35	37	25	0
