40
1	 28	 812	 828	 41	 63
2	 15	 1873	 1887	 26	 41
3	 25	 1054	 1074	 27	 89
4	 74	 1561	 1629	 20	 48
5	 24	 1006	 1054	 4	 33
6	 18	 1733	 1751	 37	 59
7	 52	 869	 913	 26	 34
8	 13	 958	 1024	 14	 29
9	 76	 1757	 1769	 0	 28
10	 21	 774	 810	 3	 22
11	 85	 706	 770	 25	 86
12	 61	 1379	 1441	 74	 91
13	 88	 1884	 1936	 33	 47
14	 23	 828	 840	 21	 38
15	 14	 961	 973	 6	 65
16	 28	 1180	 1250	 6	 82
17	 23	 1605	 1607	 10	 32
18	 26	 1463	 1535	 57	 87
19	 59	 827	 869	 53	 89
20	 3	 1589	 1659	 60	 77
21	 23	 887	 903	 86	 91
22	 7	 1418	 1436	 62	 76
23	 19	 957	 999	 2	 29
24	 28	 922	 932	 4	 39
25	 86	 1510	 1536	 8	 44
26	 18	 1126	 1138	 21	 92
27	 12	 1819	 1847	 41	 62
28	 18	 1516	 1584	 17	 26
29	 14	 1311	 1327	 55	 74
30	 84	 812	 826	 12	 60
31	 11	 1696	 1742	 46	 90
32	 59	 1686	 1710	 20	 47
33	 91	 1202	 1246	 15	 45
34	 69	 1126	 1132	 11	 60
35	 97	 727	 757	 24	 78
36	 18	 801	 851	 18	 60
37	 7	 1090	 1102	 48	 51
38	 6	 940	 958	 38	 84
39	 14	 891	 925	 6	 26
40	 37	 1676	 1718	 62	 98
0	30	20	11	25	35	16	4	21	36	13	15	31	7	17	47	30	3	35	1	33	39	35	44	25	9	9	1	25	14	34	41	23	2	39	26	43	34	6	23
30	0	34	4	5	37	41	1	24	49	44	1	26	14	41	9	16	33	1	28	18	11	9	48	33	39	45	36	8	35	33	0	24	44	22	3	38	43	10	42
20	34	0	42	2	0	37	18	28	48	40	18	42	49	10	32	24	12	14	34	3	1	10	3	0	11	33	21	31	0	4	33	3	47	3	18	37	49	46	13
11	4	42	0	37	41	11	27	13	16	29	0	44	39	25	32	13	16	33	11	38	20	23	43	26	2	15	34	37	34	36	9	30	7	7	42	12	7	21	45
25	5	2	37	0	40	12	1	45	45	29	47	24	1	9	34	9	26	44	8	48	0	30	37	27	43	11	32	25	26	39	14	14	7	9	31	13	41	40	21
35	37	0	41	40	0	4	24	5	12	10	4	28	6	2	26	13	23	37	3	4	44	43	31	13	33	6	12	36	26	32	48	17	36	0	47	22	25	13	44
16	41	37	11	12	4	0	12	47	49	32	35	41	20	0	49	43	44	2	8	4	13	24	43	9	0	31	6	8	33	19	9	13	43	5	26	47	5	6	26
4	1	18	27	1	24	12	0	1	41	9	38	0	19	12	35	7	1	11	11	37	7	24	6	26	11	19	33	7	15	12	42	18	12	45	21	45	36	5	21
21	24	28	13	45	5	47	1	0	2	14	33	36	32	36	40	9	14	17	15	31	4	42	0	32	0	45	8	42	46	9	48	7	3	0	11	26	12	25	7
36	49	48	16	45	12	49	41	2	0	1	13	9	48	25	41	29	45	21	44	41	34	11	34	15	3	3	22	7	42	13	45	25	35	2	8	29	5	9	5
