15
1	 95	 586	 668	 1	 66
2	 72	 819	 833	 24	 71
3	 43	 1176	 1238	 28	 59
4	 40	 1029	 1065	 8	 22
5	 97	 778	 786	 24	 40
6	 78	 958	 968	 3	 22
7	 93	 924	 932	 59	 81
8	 38	 647	 675	 6	 45
9	 27	 1137	 1251	 38	 53
10	 38	 953	 967	 56	 96
11	 40	 548	 550	 5	 35
12	 25	 726	 840	 65	 70
13	 95	 696	 800	 11	 92
14	 76	 598	 600	 36	 47
15	 72	 514	 518	 14	 91
0	0	45	35	45	13	43	42	12	43	19	44	16	40	40
0	0	2	47	20	33	20	11	37	19	8	40	20	15	36
45	2	0	45	24	48	0	11	35	49	10	18	25	27	27
35	47	45	0	41	38	42	31	26	7	36	4	18	27	7
45	20	24	41	0	41	16	18	48	34	4	45	7	0	13
13	33	48	38	41	0	38	37	15	48	1	48	7	32	8
43	20	0	42	16	38	0	46	49	25	44	17	7	35	16
42	11	11	31	18	37	46	0	19	10	0	13	22	46	31
12	37	35	26	48	15	49	19	0	36	25	43	27	42	8
43	19	49	7	34	48	25	10	36	0	23	23	4	10	6
19	8	10	36	4	1	44	0	25	23	0	45	7	16	30
44	40	18	4	45	48	17	13	43	23	45	0	10	30	14
16	20	25	18	7	7	7	22	27	4	7	10	0	20	15
40	15	27	27	0	32	35	46	42	10	16	30	20	0	11
40	36	27	7	13	8	16	31	8	6	30	14	15	11	0
