10
1	 93	 171	 195	 12	 64
2	 5	 156	 160	 13	 31
3	 76	 319	 331	 18	 60
4	 6	 129	 139	 76	 96
5	 100	 124	 222	 17	 95
6	 100	 252	 264	 8	 28
7	 42	 395	 477	 70	 84
8	 33	 385	 473	 33	 41
9	 22	 418	 482	 40	 49
10	 24	 58	 158	 57	 77
0	17	45	5	4	6	2	23	48	8
17	0	41	19	1	26	14	10	37	39
45	41	0	28	25	33	31	35	35	33
5	19	28	0	13	26	24	33	22	39
4	1	25	13	0	32	15	10	46	42
6	26	33	26	32	0	30	46	45	39
2	14	31	24	15	30	0	33	8	9
23	10	35	33	10	46	33	0	41	21
48	37	35	22	46	45	8	41	0	20
8	39	33	39	42	39	9	21	20	0
