10
1	 91	 334	 408	 9	 57
2	 11	 520	 524	 16	 37
3	 15	 661	 685	 42	 55
4	 96	 280	 312	 17	 39
5	 40	 474	 528	 10	 44
6	 54	 320	 322	 20	 26
7	 41	 255	 301	 25	 34
8	 27	 244	 300	 9	 27
9	 20	 382	 470	 44	 76
10	 74	 205	 227	 28	 73
0	24	3	35	34	19	46	16	36	28
24	0	5	43	10	42	48	15	19	14
3	5	0	15	24	16	37	14	22	39
35	43	15	0	26	31	8	28	28	19
34	10	24	26	0	15	33	47	34	43
19	42	16	31	15	0	48	3	37	38
46	48	37	8	33	48	0	11	41	20
16	15	14	28	47	3	11	0	20	29
36	19	22	28	34	37	41	20	0	32
28	14	39	19	43	38	20	29	32	0
