10
1	 93	 513	 601	 18	 87
2	 69	 472	 586	 21	 35
3	 64	 363	 415	 6	 60
4	 81	 491	 587	 25	 47
5	 11	 544	 552	 11	 40
6	 62	 175	 185	 7	 37
7	 79	 674	 696	 22	 94
8	 45	 355	 449	 9	 92
9	 74	 654	 676	 17	 20
10	 7	 177	 237	 26	 37
0	29	4	4	13	42	23	40	43	31
29	0	30	45	35	31	49	47	21	22
4	30	0	29	23	2	23	5	1	15
4	45	29	0	40	16	10	39	29	38
13	35	23	40	0	27	44	48	8	29
42	31	2	16	27	0	47	27	5	5
23	49	23	10	44	47	0	47	43	29
40	47	5	39	48	27	47	0	22	22
43	21	1	29	8	5	43	22	0	22
31	22	15	38	29	5	29	22	22	0
