50
1	 12	 1896	 1968	 55	 58
2	 18	 1490	 1536	 22	 72
3	 35	 2707	 2737	 17	 92
4	 83	 2834	 2894	 13	 21
5	 100	 1192	 1206	 74	 99
6	 10	 2529	 2569	 73	 97
7	 54	 1440	 1532	 12	 56
8	 17	 2788	 2798	 10	 21
9	 3	 1816	 1850	 68	 76
10	 47	 2064	 2110	 11	 67
11	 20	 2210	 2290	 3	 81
12	 70	 1289	 1341	 1	 60
13	 96	 2405	 2491	 9	 34
14	 32	 2484	 2556	 52	 96
15	 32	 2463	 2511	 53	 87
16	 21	 2768	 2812	 41	 60
17	 81	 1659	 1733	 19	 27
18	 64	 2617	 2671	 21	 23
19	 43	 1829	 1859	 15	 24
20	 41	 1795	 1863	 21	 50
21	 59	 2527	 2619	 29	 76
22	 40	 1975	 2039	 31	 38
23	 69	 1377	 1431	 26	 94
24	 84	 1419	 1493	 61	 68
25	 15	 2197	 2209	 8	 28
26	 18	 3003	 3015	 9	 23
27	 41	 1442	 1474	 17	 29
28	 53	 2646	 2706	 81	 90
29	 26	 2020	 2036	 10	 80
30	 76	 1851	 1927	 62	 74
31	 46	 2071	 2115	 19	 76
32	 4	 2097	 2177	 15	 21
33	 11	 1158	 1184	 32	 65
34	 86	 1641	 1665	 20	 22
35	 6	 2119	 2211	 28	 79
36	 78	 1194	 1226	 9	 82
37	 83	 1294	 1384	 71	 100
38	 61	 2400	 2416	 1	 35
39	 19	 1922	 1940	 11	 26
40	 68	 2054	 2106	 18	 25
41	 5	 1895	 1935	 70	 92
42	 65	 2905	 2911	 30	 85
43	 28	 1156	 1190	 15	 22
44	 79	 1564	 1638	 6	 69
45	 75	 1266	 1356	 6	 36
46	 87	 2931	 2955	 17	 23
47	 82	 2077	 2165	 66	 94
48	 16	 2614	 2702	 19	 21
49	 53	 1639	 1683	 73	 87
50	 13	 2458	 2520	 1	 34
0	2	7	33	20	5	12	48	8	20	49	40	3	14	21	43	32	48	11	6	9	23	38	43	27	2	18	3	9	39	17	24	23	41	7	36	43	22	14	16	9	49	3	4	38	30	39	9	26	31
2	0	28	35	42	37	24	22	23	29	20	41	38	39	42	10	9	17	16	15	43	13	20	2	1	35	17	4	37	48	30	36	49	4	49	8	18	33	20	1	49	40	5	34	1	12	3	48	28	3
7	28	0	27	41	44	39	13	21	46	35	22	12	32	35	4	16	23	39	5	13	34	16	32	16	5	12	25	8	10	5	2	11	5	8	38	12	40	16	42	0	46	6	38	5	0	18	11	33	4
33	35	27	0	14	16	38	35	0	19	33	10	41	48	18	4	8	20	21	30	8	45	21	39	33	23	9	6	37	43	23	3	6	26	32	16	9	24	27	15	35	47	17	49	17	4	8	0	10	29
20	42	41	14	0	49	38	13	39	44	10	15	32	11	39	32	20	39	47	44	0	22	33	47	8	5	7	37	42	20	41	26	13	39	4	1	27	43	47	35	10	42	39	40	43	41	24	29	42	0
5	37	44	16	49	0	10	27	48	21	0	12	1	14	16	35	41	12	19	40	24	42	11	2	23	37	35	5	36	11	16	49	8	33	4	31	9	35	14	10	42	19	33	27	44	44	33	32	30	10
12	24	39	38	38	10	0	9	37	23	12	1	18	5	37	47	12	9	10	7	9	0	25	20	23	39	10	19	28	5	28	7	3	28	27	45	7	26	34	44	12	35	2	25	4	15	48	48	25	14
48	22	13	35	13	27	9	0	2	29	46	34	27	21	28	46	35	42	24	15	49	39	44	10	28	17	20	46	28	32	26	26	11	25	16	29	4	11	47	4	16	23	20	2	32	14	32	43	22	12
8	23	21	0	39	48	37	2	0	0	29	15	8	15	37	48	22	29	9	27	6	24	3	0	6	39	23	0	30	37	19	19	21	38	1	8	32	43	7	21	4	21	26	5	38	45	21	13	16	38
20	29	46	19	44	21	23	29	0	0	46	48	46	3	27	2	29	19	37	13	27	29	2	15	36	12	2	40	2	43	35	41	19	49	10	32	25	38	32	5	17	46	0	26	14	8	2	36	5	36
