20
1	 3	 1121	 1161	 22	 55
2	 24	 931	 973	 19	 28
3	 39	 418	 462	 3	 82
4	 72	 684	 724	 1	 82
5	 24	 862	 898	 29	 52
6	 83	 1140	 1154	 3	 37
7	 95	 1064	 1078	 22	 27
8	 3	 671	 683	 7	 36
9	 68	 864	 946	 26	 63
10	 84	 507	 589	 14	 28
11	 39	 397	 485	 9	 24
12	 87	 414	 446	 12	 99
13	 53	 957	 1033	 11	 25
14	 2	 823	 901	 42	 63
15	 43	 657	 703	 4	 57
16	 60	 898	 908	 94	 99
17	 83	 427	 457	 79	 87
18	 24	 693	 711	 94	 98
19	 50	 455	 459	 36	 85
20	 75	 362	 450	 12	 28
0	10	49	12	19	7	6	22	3	20	7	37	2	34	0	12	38	18	11	42
10	0	25	40	16	11	36	42	22	17	17	1	49	19	47	28	23	11	44	37
49	25	0	47	27	31	31	21	37	3	5	46	32	41	30	33	28	16	27	48
12	40	47	0	46	43	38	18	27	26	9	40	4	10	49	49	43	8	11	26
19	16	27	46	0	29	16	30	12	30	43	23	44	29	39	41	48	42	30	17
7	11	31	43	29	0	29	20	42	28	34	23	19	31	32	28	27	20	8	18
6	36	31	38	16	29	0	43	16	24	37	25	0	32	8	34	25	32	32	18
22	42	21	18	30	20	43	0	4	11	31	29	4	5	40	10	47	38	32	16
3	22	37	27	12	42	16	4	0	44	32	18	1	12	13	47	23	22	1	18
20	17	3	26	30	28	24	11	44	0	42	44	34	14	16	6	49	2	3	43
7	17	5	9	43	34	37	31	32	42	0	29	18	43	17	43	8	1	28	41
37	1	46	40	23	23	25	29	18	44	29	0	41	26	46	23	4	20	1	34
2	49	32	4	44	19	0	4	1	34	18	41	0	13	7	38	17	11	25	10
34	19	41	10	29	31	32	5	12	14	43	26	13	0	7	21	11	13	32	32
0	47	30	49	39	32	8	40	13	16	17	46	7	7	0	15	10	19	39	9
12	28	33	49	41	28	34	10	47	6	43	23	38	21	15	0	6	6	32	11
38	23	28	43	48	27	25	47	23	49	8	4	17	11	10	6	0	19	26	3
18	11	16	8	42	20	32	38	22	2	1	20	11	13	19	6	19	0	39	3
11	44	27	11	30	8	32	32	1	3	28	1	25	32	39	32	26	39	0	33
42	37	48	26	17	18	18	16	18	43	41	34	10	32	9	11	3	3	33	0
